Scientific_name,Accepted_name_TNRS,SLA_mm2mg1,wood_density_gcm3,max_height_m,Nmass
Acacia confusa,Acacia confusa,7.9114,0.734,15,29.6
Acacia koa,Acacia koa,12.649,0.5754,33.002,30.4871
Acacia koaia,Acacia koaia,NA,0.77,15.24,NA
Albizia saman,Samanea saman,11.9089,0.495,33.76,33.5011
Aleurites moluccanus,Aleurites moluccanus,NA,0.3833,17.5,NA
Antidesma platyphyllum,Antidesma platyphyllum,12.0192,0.67,12.5,21.5
Antidesma pulvinatum,Antidesma pulvinatum,13.958,0.62,12,14.6
Araucaria heterophylla,Araucaria heterophylla,NA,NA,NA,NA
Archontophoenix alexandrae,Archontophoenix alexandrae,NA,NA,20,NA
Ardisia elliptica,Ardisia elliptica,7.9568,0.62,11.5,17.97
Bobea elatior,Bobea gaudichaudii,NA,NA,NA,NA
Bobea sandwicensis,Bobea sandwicensis,NA,0.65,7.572,NA
Bocconia frutescens,Bocconia frutescens,NA,NA,6,11.5
Broussaisia arguta,Hydrangea arguta,12.0492,0.1931,5,14.1948
Casuarina equisetifolia,Casuarina equisetifolia,2.7739,0.808,29.5855,16.3743
Casuarina glauca,Casuarina glauca,NA,0.7548,19.572,NA
Cecropia obtusifolia,Cecropia obtusifolia,13.7755,0.2948,26.8871,26.6518
Charpentiera ovata,Charpentiera ovata,NA,NA,12,NA
Cheirodendron forbesii,Cheirodendron forbesii,NA,0.47,NA,NA
Cheirodendron trigynum,Cheirodendron trigynum,10.2572,0.3916,15.12,14.6806
Chenopodium oahuense,Chenopodium oahuense,11.1625,0.5,NA,33.5
Chrysophyllum oliviforme,Chrysophyllum oliviforme,NA,0.8167,4.8768,NA
Cinnamomum burmanni,Cinnamomum burmanni,8.8999644,0.49,20,15
Cinnamomum verum,Cinnamomum verum,12.8287,0.4876,13,17.38675
Citharexylum caudatum,Citharexylum caudatum,11.0748,0.6467,9.144,22.2167
Clermontia arborescens,Clermontia arborescens,NA,0.5,6,NA
Clermontia kakeana,Clermontia kakeana,NA,NA,NA,NA
Clermontia parviflora,Clermontia parviflora,16.049,0.2487,NA,29.421
Clidemia hirta,Miconia crenata,23.2862,NA,3,19.82
Clusia rosea,Clusia rosea,3.0622,0.6312,18.288,10.2834
Cocos nucifera,Cocos nucifera,NA,NA,23.8587,NA
Colubrina oppositifolia,Colubrina oppositifolia,11.8624,0.7,NA,29.475
Coprosma foliosa,Coprosma foliosa,NA,0.48,8,NA
Coprosma longifolia,Coprosma longifolia,9.3897,0.71,5,21.4667
Coprosma ochracea,Coprosma ochracea,18.8649,0.71,7.572,15.2
Coprosma rhynchocarpa,Coprosma rhynchocarpa,NA,0.5065,15,20.026
Cordyline fruticosa,Cordyline fruticosa,NA,NA,3.032,NA
Cryptomeria spp.,Cryptomeria,NA,NA,NA,NA
Cyanea angustifolia,Cyanea angustifolia,NA,NA,5,NA
Dillenia suffruticosa,Dillenia suffruticosa,11.3901,0.45,5.9,18.6108
Diospyros sandwicensis,Diospyros sandwicensis,5.4584,0.7554,15,10.9971
Dodonaea viscosa,Dodonaea viscosa,7.3493,0.9322,4.5476,15.8058
Dracaena konaensis,Dracaena konaensis,NA,NA,6,NA
Dracaena rockii,Dracaena rockii,NA,NA,NA,NA
Dubautia plantaginea,Dubautia plantaginea,NA,0.65,7.0052,NA
Erythrina sandwicensis,Erythrina sandwicensis,13.0208,0.31,12.62,33.468
Eucalyptus deglupta,Eucalyptus deglupta,NA,0.4503,67.5,19.525
Eucalyptus globulus,Eucalyptus globulus,7.198192695,0.700328571,44.60760476,13.93742857
Eucalyptus robusta,Eucalyptus robusta,4.9554,0.6331,28.3816,12.0333
Eucalyptus saligna,Eucalyptus saligna,25.5576,0.645,46.9446,19.0242
Falcataria moluccana,Falcataria falcata,15.6379,0.421,42.5,25.6333
Ficus microcarpa,Ficus microcarpa,8.9899,0.41,27.5,18.42
Flindersia brayleyana,Flindersia brayleyana,15.7989,0.4794,12.8947,15.2492
Fraxinus uhdei,Fraxinus uhdei,32.4329,0.947,27.6667,15.935
Freycinetia arborea,Freycinetia arborea,15.4938,NA,2,18.5889
Grevillea banksii,Grevillea banksii,NA,0.55,8,NA
Grevillea robusta,Grevillea robusta,14.5899,0.5214,31.5813,20.28
Heliocarpus popayanensis,Heliocarpus americanus,26.83123155,0.245,22.3,32.875
Heptapleurum actinophyllum,Heptapleurum actinophyllum,NA,NA,NA,NA
Hibiscus arnottianus,Hibiscus arnottianus,NA,NA,NA,NA
Hibiscus tilliaceus,Hibiscus tiliaceus,9.923982296,0.424,20.0584,25
Ilex anomala,Ilex anomala,8.3049,0.2984,12,10.9208
Ilex paraguariensis,Ilex paraguariensis,11.5177,NA,21.0665,21.3333
Kadua affinis,Kadua affinis,6.6934,NA,7.072,14.4
Kadua axillaris,Kadua axillaris,NA,NA,6,NA
Lantana camara,Lantana camara,19.629,0.5968,2.25,24.5933
Leptecophylla tameiameiae,Leptecophylla tameiameiae,NA,NA,NA,NA
Leucaena leucocephala,Leucaena leucocephala,15.7062,0.6667,15.0195,38.4754
Macaranga mappa,Macaranga mappa,NA,0.27,NA,NA
Mangifera indica,Mangifera indica,7.616204236,0.554,18.113,13.53464286
Melaleuca quinquenervia,Melaleuca quinquenervia,4.8638,0.6521,22,10.6
Melastoma malabathricum,Melastoma malabathricum,18.0268,0.44,4.375,17.0448
Melicope clusiifolia,Melicope clusiifolia,4.9285,0.4602,10,21.652
Melicope haleakalae,Melicope haleakalae,NA,0.45,3,NA
Melicope kaalaensis,Melicope kaalaensis,NA,0.45,NA,NA
Melicope volcanica,Melicope volcanica,NA,0.45,11,NA
Melochia umbellata,Melochia umbellata,19.361,NA,15,25.6
Metrosideros polymorpha,Metrosideros polymorpha,4.9486,0.6325,23.9624,8.5896
Metrosideros tremuloides,Metrosideros tremuloides,NA,NA,NA,NA
Mezoneuron kavaiense,Mezoneuron kauaiense,NA,NA,NA,NA
Morinda citrifolia,Morinda citrifolia,20.4336,0.5624,7.3653,16.4016
Myoporum sandwicense,Myoporum sandwicense,6.7901,0.7663,16.858,12.9
Myrica faya,Myrica faya,12.1314,0.66,8,17.3489
Myrsine lanaiensis,Myrsine lanaiensis,NA,0.53,6,NA
Myrsine lessertiana,Myrsine lessertiana,8.3682,0.6042,8,9.2898
Myrsine sandwicensis,Myrsine sandwicensis,16.381,0.441,7,10.5402
Nestegis sandwicensis,Nestegis sandwicensis,5.9207,0.66,13,NA
Nototrichium sandwicense,Nototrichium sandwicense,NA,0.48,4,NA
Osteomeles anthyllidifolia,Osteomeles anthyllidifolia,7.4737,0.8119,3.3288,12.1591
Pandanus tectorius,Pandanus tectorius,10.443,NA,12.7147,14
Perrottetia sandwicensis,Perrottetia sandwicensis,NA,0.3453,7.54,14.304
Persea americana,Persea americana,15.2558,0.538,20,18.9125
Pinus elliottii,Pinus elliottii,7.7242,0.585,32.8822,9.5143
Pinus patula,Pinus patula,12.17,0.4267,30,16
Pinus radiata,Pinus radiata,9.5869,0.47,37.3587,12.883
Pipturus albidus,Pipturus albidus,18.3816,0.2247,7.572,18.9373
Pisonia sandwicensis,Rockia sandwicensis,NA,0.3,NA,NA
Pithecellobium dulce,Pithecellobium dulce,15.0864,0.602669432,20,28.1446
Pittosporum glabrum,Pittosporum glabrum,NA,0.57,8,NA
Pittosporum hosmeri,Pittosporum hosmeri,NA,0.57,7.81,NA
Planchonella sandwicensis,Planchonella sandwicensis,7.624,NA,22.192,20.25
Polyscias hawaiensis,Polyscias hawaiensis,NA,NA,20,NA
Polyscias oahuensis,Polyscias oahuensis,NA,NA,10,NA
Polyscias sandwicensis,Polyscias sandwicensis,NA,NA,30,NA
Pritchardia beccariana,Pritchardia beccariana,NA,NA,NA,NA
Pritchardia munroi,Pritchardia munroi,NA,NA,7.62,NA
Prosopis pallida,Prosopis pallida,8.607,NA,24.5667,NA
Prunus persica,Prunus persica,18.40535964,0.655,8,40.53328947
Psidium cattleianum,Psidium cattleyanum,8.6894,0.9577,7.25,13.4988
Psidium cattleyanum,Psidium cattleyanum,5.478251342,1.12,6.675,12.338
Psidium guajava,Psidium guajava,9.9693,0.657,9.048,17.0717
Psychotria hawaiiensis,Psychotria hawaiiensis,10.0652,0.5129,14.16,12.8036
Psychotria hexandra,Psychotria hexandra,NA,0.52,NA,NA
Psychotria kaduana,Psychotria kaduana,NA,0.52,8,NA
Psychotria mariniana,Psychotria mariniana,8.8574,0.52,19.906,17.4
Psydrax odorata,Psydrax odoratus,6.4962,0.8335,11.0813,14.4479
Rauvolfia sandwicensis,Rauvolfia sandwicensis,NA,0.46,NA,NA
Rhodomyrtus tomentosa,Rhodomyrtus tomentosa,10.1454,NA,2,10.5479
Rubus macraei,Rubus macraei,NA,NA,NA,NA
Santalum freycinetianum,Santalum freycinetianum,8.2305,0.75,20,22.4333
Santalum paniculatum,Santalum paniculatum,5.4915,0.7058,9.575,13.4
Sapindus oahuensis,Sapindus oahuensis,NA,NA,17.9916,NA
Scaevola gaudichaudiana,Scaevola gaudichaudiana,11.8483,0.5,3,31.7
Schefflera actinophylla,Schefflera actinophylla,6.7295,0.4129,15,18.6667
Schinus molle,Schinus molle,8.64655,0.53545,12.15925,19.5301
Schinus terebinthifolia,Schinus terebinthifolia,NA,NA,7,15.2
Schizostachyum glaucifolium,Schizostachyum glaucifolium,NA,NA,NA,NA
Sophora chrysophylla,Sophora chrysophylla,11.0624,0.8917,14.144,26.6341
Spathodea campanulata,Spathodea campanulata,16.1496,0.341,24.692,24.6756
Styphelia tameiameiae,Leptecophylla tameiameiae,4.864,NA,4.786,8.2
Swietenia macrophylla,Swietenia macrophylla,25.4138,0.4171,40.8333,16.5247
Syzygium cumini,Syzygium cumini,9.2799,0.6468,18.3107,16.7423
Syzygium jambos,Syzygium jambos,8.7874,0.6961,14,12.7879
Syzygium malaccense,Syzygium malaccense,8.2399,0.5562,15,13.6739
Syzygium sandwicense,Syzygium sandwicense,6.7751,0.63,23.93,14.9
Toona ciliata,Toona hexandra,13.5125,0.4208,28,21.4592
Touchardia latifolia,Touchardia latifolia,NA,NA,3,NA
Trema orientalis,Trema orientale,12.8741,0.3454,11.15,28.976
Vaccinium dentatum,Vaccinium dentatum,NA,NA,3.3288,NA
Vaccinium reticulatum,Vaccinium reticulatum,12.8843,0.8589,2,9.5495
Wikstroemia monticola,Wikstroemia monticola,NA,0.52,3,NA
Wikstroemia oahuensis,Wikstroemia oahuensis,8.4674,0.52,7.575,17.1
Wikstroemia sandwicensis,Wikstroemia sandwicensis,NA,0.5667,5,15.96
Xylosma hawaiensis,Xylosma hawaiensis,NA,NA,NA,NA
